audio-0.300-1.500|From behind my seat.
audio-9183.100-9186.300|Oh, you know pretentious jaded.
audio-9186.100-9187.600|Okay.
audio-9187.400-9192.700|I said with the laugh we talked for a little longer about nothing.
audio-9192.500-9202.400|Certainly not about how long I'd stay away or about what is anything we still meant to each other you sounded so happy better than he had in ages.
audio-9203.400-9204.800|Well have fun.
audio-9204.600-9206.500|He said his we were about to hang up.
audio-9206.300-9208.800|Send me a postcard of the Empire State Building.
audio-9208.600-9209.300|Okay?
audio-9210.200-9211.200|We said goodbye.
audio-9212.300-9220.600|Simon was in his room, but I grabbed a jacket and headed to Kilroy's hurrying on the darker cross streets in the vestibule of his building.
audio-9220.400-9230.600|I ran my finger down the road Tiny still buttons until I found his He buzzed me up and met me at the door to his apartment a book closed around his index finger.
audio-9230.400-9246.500|He pulled me in and then Back Bay against the closed-door, his face was warm and Scratchy said they're kissing for a while and then I pulled away and told him about the call about how Mike it sounded as if he'd meant what he said in his hospital room tonight.
audio-9246.300-9249.900|I left that he was glad he didn't have to wonder about us anymore.
audio-9250.900-9256.500|Do what she sounded more upset or worried said we're in the living room now standing near his couch.
audio-9256.300-9258.700|We didn't quite know how to sit together yet.
audio-9258.500-9260.200|His thumbs were in his belt.
audio-9260.000-9262.700|Loops hand splayed over his front pockets.
audio-9263.300-9269.400|Not more upset I said, but then I broke off talking Kilroy tilted his head to the side.
audio-9269.200-9271.000|Tell me.
audio-9271.700-9277.100|I breathe in deeply and looked at him his shirt features and shaggy hair.
audio-9278.100-9279.000|Tell me.
audio-9279.600-9288.700|They meant something those words it meant he wanted to know he stood there looking at me a watchful interested expression on his face.
audio-9289.700-9291.600|I hope I didn't want him to be upset.
audio-9291.400-9298.300|I began I mean all summer suddenly tears search for my eyes.
audio-9299.600-9301.100|I didn't want to hurt him.
audio-9300.900-9304.400|I cried but sometimes sitting there with him.
audio-9304.200-9308.500|I felt like I was watching myself sitting there with him, like look at her.
audio-9308.300-9310.000|She's doing the right thing.
audio-9309.800-9318.600|I felt so distant Kilroy not and thoughtfully and now I've left and I mean, what does it mean to him?
audio-9318.400-9321.200|He rubbed his chin and considered.
audio-9322.100-9323.600|You don't want him to be upset.
audio-9323.400-9327.200|He said but you want him to be thinking about it.
audio-9328.700-9340.100|I was at I wanted him to be thinking about it just as I was thinking about it, but I had this to I had talking about it with someone I'd be in bed with before long.
audio-9339.900-9344.000|It was too much the overlapping this of it.
audio-9343.800-9351.500|All Mike's feelings in my feelings and Kilroy taking my hands and pulling it toward his mouth.
audio-9353.900-9369.600|Leather jackets and stretchy pants square-toed, boots and fedoras skinny Nets and clear plastic purses fashion was everywhere and I was entranced walking around.
audio-9369.400-9399.900|I got so involved in looking at other women that I began bumping into people stopped at crosswalks, excuse me and say that I check out their outfits when afternoon, I found a fabric storage is under the wing of Carnegie Hall outside taxis blared and buses hist but the store itself was quiet an urban version of Fabrications run by a Phalanx of heavy besuited sells ladies who watched worthlessly from behind the cutting tables as I strolled around.
audio-9400.800-9412.100|There were hundreds of bolts of Fabrics on shelves running to the high ceiling silk prints and your cards pan velvets with swirls of gold and silver soft wool.
audio-9411.900-9413.600|So full of metal color.
audio-9413.400-9414.700|They conjured places.
audio-9414.500-9420.000|I've never been that Heather and Scottish Highlands the emerald flecked gray of the Irish Countryside.
audio-9419.800-9436.900|I long to buy something just some small thing and I was feeling hopeless until I remembered when I slept at The Brownstone instead of at Kilroy's a small window in the stairwell that have wide band of light into my Alcove and woke me up broke or not.
audio-9436.700-9438.800|I could spend $5 to make a curtain.
audio-9438.600-9439.600|Good night.
audio-9440.600-9445.800|I found an inexpensive off white cotton and with a feeling that I was getting away with something.
audio-9445.600-9446.900|I bought a single yard.
audio-9447.800-9448.700|That evening.
audio-9448.500-9454.500|I set up my sewing machine in The Brownstone kitchen and got to work till red come to keep me company.
audio-9454.300-9468.600|And as I pinned the ambled around the room looking at things a days old copy of the times New Yorker missing its cover a whiteboard or someone had written Craig Steven Spielberg calls you not.
audio-9469.300-9478.200|Greg's the wannabe actor Kilroy said I looked up for my work and nodded he uncap the marker and wrote Steven Spielberg.
audio-9478.000-9483.300|But is he an artist and he glanced at me and might get off leaving a blue smear?
audio-9483.100-9487.400|Oh, well, he said guess I shouldn't offend the natives.
audio-9488.100-9501.100|I hadn't really thought about how it would feel to have him at the Brownstone son was the only one he met and when I asked hilroy afterward what he thought of Simon he hemmed and hawed and then said he thought Simon was trying to be something he wasn't.
audio-9500.900-9502.300|Well.
audio-9502.100-9502.500|Yeah.
audio-9502.300-9506.800|I said he's trying to be an illustrator, but he just shook his head.
audio-9507.800-9518.600|I heard the front door open and in a moment Simon and Greg came in the kitchen both dresses if they've been out somewhere special in nice shirts and jackets and even surprisingly ties.
audio-9519.400-9524.800|Your sewing Simon said loosening the knot in his tie and unbuttoning the top button of shirt.
audio-9524.600-9527.600|What are you feeling the call of the Midwest?
audio-9527.400-9530.900|It's the call of the early morning son.
audio-9530.700-9534.200|I said piercing The Alcove and waking me up too early.
audio-9534.000-9537.000|I'm making curtain for the window in the stairwell.
audio-9536.800-9538.700|He smiled.
audio-9538.500-9540.900|I guess that would make sense.
audio-9540.700-9543.400|If you ever he glanced to Kilroy.
audio-9543.200-9545.400|Oh nevermind.
audio-9545.200-9547.200|Have you met Kilroy?
audio-9547.000-9551.200|I said quickly to Greg looking back and forth between the two of them.
audio-9552.000-9554.200|Greg had been standing near the sink now.
audio-9554.000-9556.600|He came forward and offered kelroy his hand.
audio-9557.300-9561.400|So Kerry Simon said we were just at this party.
audio-9561.200-9563.000|I swear you would have died.
audio-9562.800-9563.700|This guy.
audio-9563.500-9565.400|Jason is friend of ours from Yale.
audio-9565.200-9574.700|His father is the heir to a New England Apartments to our fortune and have his annual party every October to I don't know celebrate their wealth or whatever.
audio-9574.500-9585.300|Anyway, this is Newport Avenue duplex and they have eight bathrooms Greg said and in my peripheral vision, I saw Kilroy Bridal, what does that even mean?
audio-9585.100-9590.000|He said I could fit 8 bathrooms in my apartment still have room for my lazy boy.
audio-9589.800-9592.200|You don't have a lazy boy.
audio-9592.000-9594.800|I interjected trying for light tone.
audio-9594.600-9596.600|So I was nervous all at once.
audio-9597.300-9598.500|He snapped his fingers.
audio-9598.300-9599.400|Damn.
audio-9599.200-9600.100|I better get one.
audio-9599.900-9601.700|He turned to Simon.
audio-9601.500-9605.300|I live in the kind of place where a lazy boy would add character.
audio-9605.100-9618.500|Well anyway, Simon said carry this party perrier-jouet and I mean cases waiters passing Little smoked salmon, deeley's tiny filo pastries Etc flowers.
audio-9618.300-9626.000|Like you wouldn't believe Jason's father is in the Forbes 400 Greg said and Kilroy gave him and look of disdain.
audio-9625.800-9628.300|You mean he has a lot of money.
audio-9628.100-9645.800|Well, yeah Greg said obviously like hundreds of thousands like a millions and millions of exclaimed Jason used to get driven up to school in a limousine really tell her I said was it by chances stretch limousine?
audio-9646.200-9651.200|Greg blushed after moment he put his hands in his pockets and pull them out again.
audio-9651.000-9656.100|Well Simon said on that note, I think I'll go watch TV.
audio-9655.900-9670.500|He made a face the sort of ironically freaked out face that was meant to say he actually was freaked out and then he left the kitchen my face was burning I bent over the sewing machine in lower the needle into the fabric poor Greg.
audio-9670.300-9674.600|He's never been anything but nice to me and now my boyfriend was making him look like a fool.
audio-9674.400-9679.900|What was Kilmer's problem wasn't Greg for the subject of people with money.
audio-9679.700-9692.000|I noticed this before it was as if Kilroy were Frugal not by me, but to make a point the same point made by the N word fergality that catches walls empty of pictures his floors bear.
audio-9692.500-9695.800|It was a frugality that said I don't need anything.
audio-9696.700-9703.800|And I wondered where does that leave me Greg came and Stood Beside Me and looked down at my work too bad.
audio-9703.600-9705.100|We don't have another room for you.
audio-9704.900-9707.700|I feel pretty lucky to have the Alcove.
audio-9707.500-9711.400|Yeah, but it must be frustrating to know Alice has never even in a room.
audio-9712.200-9714.800|Alice and the room on the other side of the wall for me.
audio-9714.600-9716.400|I'd only seen her a few times.
audio-9716.200-9719.600|She spend most of her time at her boyfriend's place in the East Village.
audio-9719.400-9728.500|I guess I'll head upstairs to he said nice to meet you said to Kilroy's he left and Kilroy lifted his chin and smiled.
audio-9728.300-9729.600|You too.
audio-9730.800-9732.300|Alone again with him.
audio-9732.100-9736.900|I turned back to my sewing and I heard and pick up the newspaper a little later.
audio-9736.700-9742.500|I heard a step and looked up it was laying whose room is on the third floor two on the other side of Alice's.
audio-9742.300-9745.500|I liked her but I haven't talked to her much.
audio-9745.300-9757.300|I had the impression that she was shy she was one of the smallest adult side ever seen barely 5ft tall or 90 lbs with pale skin and wrist like saplings and wispy.
audio-9757.100-9761.200|Ash blond hair cropped close to her head high.
audio-9761.000-9765.800|She said now I just got home and I couldn't go upstairs without coming in here first.
audio-9765.600-9766.800|See what the noise was.
audio-9767.700-9772.700|I smiled with a sewing machine last thing you expected pretty close.
audio-9772.500-9775.200|I was torn between a dental drill in a blender.
audio-9775.000-9779.400|I introduced her to Kilroy and after they said hello she turned back to me.
audio-9779.200-9781.800|I've never actually seen anyone.
audio-9781.600-9786.600|So didn't you have to take sewing in high school homak she shook her head.
audio-9786.400-9802.700|I went to one of those Progressive schools where you didn't have to do anything including in 10 class says, I don't think they even offered homak tilray tilted his head and this was where In Connecticut Stuart Hall is the name of the school but it's not like that.
audio-9802.500-9806.900|I think the whole part is to placate the trustees a strange.
audio-9806.700-9808.500|Look him over Kilroys face.
audio-9808.300-9818.400|He said actually there was a big movement led by the trustees to drop the hall and rename the school Seward Country Center and the students about to keep it Seward Hall.
audio-9819.100-9820.300|Lindgren.
audio-9820.100-9826.900|Did you go there to he shook his head but didn't add anything and then glanced at me with a question on her face.
audio-9826.700-9830.200|Well, did someone you know, she asked?
audio-9830.900-9836.900|Someone I knew who she said when it's such a small place site.
audio-9836.700-9839.000|This would have been for your time.
audio-9838.800-9843.400|He went back to the newspaper and she bit her lip and gave me another serious.
audio-9843.200-9847.100|Look I Shrugged I couldn't explain it.
audio-9846.900-9848.500|This was just Kilroy.
audio-9848.300-9849.600|Mr.
audio-9849.400-9850.000|Mysterious.
audio-9849.800-9850.700|Mr.
audio-9850.500-9854.400|I don't need anyting Lane headed for the staircase.
audio-9854.200-9855.900|Good night.
audio-9855.700-9857.300|She called over her shoulder.
audio-9858.100-9865.500|In the kitchen I said the ironing board near an outlet then brought the iron out plugged it in and poured a little water into the reservoir.
audio-9866.400-9869.800|You know till reason I think I'll head home.
audio-9870.600-9871.700|I was stunned.
audio-9871.500-9875.000|I was 15 minutes from finishing 20 at the most.
audio-9874.800-9882.000|I'm almost done I said, yeah, but I'm really be I'm going to take off.
audio-9882.800-9892.000|Jackie was draped over a chair and he crossed the room and pulled it on gave me a smile and a wave said see you and move past me to the doorway.
audio-9891.800-9900.900|I turned and watched as he made his way down the dimly-lit hallway less and less distinct in the growing Darkness until they open the front door and disappeared.
audio-9900.700-9907.500|My heart was pounding our first fight I thought but it didn't cute.
audio-9907.300-9914.500|It seemed incomprehensible what it even happened to fight even angry but not at me.
audio-9914.300-9918.400|I was angry at him for leaving but more than that.
audio-9918.200-9919.200|I was mystified.
audio-9919.000-9923.800|Why hadn't he said the name of the person he'd known who went to Lane School.
audio-9923.600-9929.400|Why say you knew someone and then refuse to say whom and what about what happened with Greg?
audio-9932.600-9940.200|I woke the next morning feeling disoriented and letting guilt and doom returning to me instantly trying to fall asleep.
audio-9940.000-9943.700|I'd spiraled from Mike to Kilroy to Mike and right away.
audio-9943.500-9948.900|I was at it again and it was dim the Alcove the flat light of early morning.
audio-9948.700-9952.300|I reached for my watch and was surprised to find it was after 10.
audio-9952.100-9960.000|I got up and went to the soon-to-be covered stairwell window and wonder I'd slept in the sky was closed and gray.
audio-9960.700-9967.200|Tell her I didn't call until 5 as he was about to leave the advertising agency where he'd been working all week.
audio-9967.000-9973.300|He wondered if I wanted to meet him at mcclanahan's or maybe meet him at his house so he can get out of his work clothes.
audio-9973.100-9975.400|I met him at his house.
audio-9975.200-9988.600|I got there first and wait in the vestibule wondering what to say about last night what to think at last he pulled open the outside door and came in his hair was tucked behind his ears his face smoothly shaved.
audio-9988.400-9997.400|He always came home to change before he did anything else but I liked how he looked in his work clothes uncomfortably handsome today.
audio-9997.200-10001.600|He were khaki pants in a blue dress shirt that brought out the pedal Flex in his eyes.
audio-10002.400-10003.600|Sorry, you had to wait.
audio-10003.400-10006.200|He said he seemed a bit breathless.
audio-10006.000-10016.600|He let us into the lobby and went into the mailroom for a moment and came back out and press the button for the elevator to he said tiring day.
audio-10016.400-10018.600|I've just been hurrying.
audio-10018.400-10021.900|He talked his male under his arm and reach for my hand.
audio-10021.700-10032.100|He interlocks his fingers with mine, but then the elevator arrived and you like going we stepped on WE reached his floor and he held the elevator door as I stepped off.
audio-10032.900-10036.800|His apartment he dropped his mail in the kitchen and then went into the bedroom.
audio-10037.800-10042.300|Want to go get a beer he called I made my way down the hall.
audio-10042.100-10053.500|He was standing there in his blue shirt his khakis already tossed over a chair back the last 24 hours fun through my mind Kilroy talking to Simon and Greg in the kitchen.
audio-10053.300-10055.500|Then the thing was laying in her school.
audio-10055.300-10058.400|I didn't actually want to go get a beer.
audio-10058.200-10060.000|I approached him.
audio-10059.800-10065.600|And as I walked I pulled my sweater over my head and tossed it onto the bed when I reached him.
audio-10065.400-10077.100|I slip my fingers into the leg of his jockeys and touched his Supple balls rolling them for a moment between my fingers until I was ready to wrap my fingers around his hardening erection.
audio-10078.000-10079.200|It surprised me.
audio-10079.000-10082.800|He said in a soft choked Voice still.
audio-10083.600-10085.700|Yes, he said.
audio-10088.800-10093.700|I enter the phase of intense listening and hope that I can learn more about him.
audio-10093.500-10099.100|I wanted facts I saw myself as The Perennial graduate student.
audio-10098.900-10105.700|He said I should be go to students of him a researcher in a Carol typing notes into a laptop.
audio-10106.700-10109.600|I left one Library only to build myself another.
audio-10110.500-10114.800|What did I learn he like to read he likes to drink beer.
audio-10114.600-10115.900|He like to shoot pool.
audio-10115.700-10125.100|He like to make love with me is this I wondered it's this he would have said if I'd asked its us.
audio-10126.200-10127.700|One Saturday afternoon.
audio-10127.500-10130.200|He lay on his couch reading while I sewed.
audio-10130.000-10135.400|I heard a thump and looked up to see that he closed his book and dropped it onto the floor.
audio-10136.100-10142.100|He shut his eyes and stretched his arms reaching over his head and his stocking feet arching.
audio-10142.800-10146.700|relaxing he looked at me and said do you hear it?
audio-10147.500-10156.300|Hear what the call of a bookstore don't you hear that little voice calling Kilroy Kilroy?
audio-10157.200-10158.500|You finished that one?
audio-10159.300-10168.700|He swept his hair from his foreign really we should go to the Strand so I can make some space but I don't think I'll have what I want what you mean make some space.
audio-10168.500-10177.600|He gestured at his bookcase tall narrow and so crammed with books that I didn't see how it could hold another volume time to send it out.
audio-10177.400-10182.200|They buy used books at the Strand why not just get another bookcase.
audio-10182.000-10193.600|This was something I thought before you certainly have the wall space for 1 He shook his head that's strictly forbidden by whom myself, of course.
audio-10194.900-10196.900|We had a downtown toward Soho.
audio-10196.700-10203.700|There was a bookstore on MacDougal Street that he thought would have what he wanted a translation of a biography of Galileo.
audio-10204.900-10218.800|In the book store, we separated and I wandered back to a display big expensive books fashion photography ipage there one after another studying how one designer got from point A to point B, another sense of color evolved.
audio-10218.600-10226.600|If only I had more money I'd try making something complicated maybe a suit money money money.
audio-10226.400-10241.500|I was running through my savings $10 here $20 there 30 I'd ask my mother to find a month-by-month subletter for my apartment and she got in a lawsuit and who is paying me $100 a month be on my rent, but that was fluff in New York subway fare.
audio-10241.300-10248.800|My credit card virtually glowed in my wallet, but I didn't want to start down that path selling my car was the obvious move.
audio-10248.600-10268.000|I never drove it except to Move It from one parking place to another I was constantly racing out of the Brownstone in order to obey the system of rules controlling when you could park where Still it was my car the one place in New York where I can go to feel like myself even just for the 10 or 15 minutes it took to move it every few days.
audio-10268.900-10279.800|I found Kilroy in the Travel section an open book in his hands when he saw me flip to a big color photograph of a straight line by towering horse chestnut trees all a bloom.
audio-10280.700-10283.200|April in Paris the caption run.
audio-10283.000-10284.400|Let's go.
audio-10284.200-10292.500|He said did you find your Galileo book a slow smile lifted the corners of his mouth and he tapped the book to friend.
audio-10292.300-10295.400|He said let's go to friends.
audio-10295.200-10300.800|I started him his hair hanging over his foreign it sharp pointed nose.
audio-10300.600-10304.500|It was something serious and his expression something urgent.
audio-10304.300-10305.700|Okay.
audio-10305.500-10309.700|I said let's and he nodded briskly good.
audio-10309.500-10314.200|Let's settle isn't he bought the Galileo book and then we left the store.
audio-10316.400-10323.600|A few days later a small package arrived at The Brownstone with morning mail a little padded envelope inscribed with my name.
audio-10323.400-10344.000|The handwriting was faintly familiar, but I couldn't place it postmarked Madison inside all by itself with no note of explanation was an unmarked cassette tape and only once I knew it come from Mike that my name is been written by his mother who had been unable to bring herself to put her own name and address on the upper left-hand corner.
audio-10345.200-10350.500|The Brownstone was empty and no I was sure would be okay to use any of the stereos in the house.
audio-10350.300-10352.900|I didn't feel right not asking first.
audio-10353.700-10358.300|I took the tape out to my car which was parked under a bare tree two blocks to the South.
audio-10358.100-10369.700|The driver's seat was cold through my jeans the car started easily then sputtered and died the engine called again, and I gave it some gas then switch the heater on and split in the tape.
audio-10370.400-10376.000|The first thing was a deep sigh and I bit my lip wondering how I would be able to stand it.
audio-10377.100-10379.300|Hi Carrie, it's October 30th.
audio-10379.100-10383.500|I guess I should say that if I were writing you a letter, I'd write it.
audio-10383.300-10389.100|I was going to try to write on the computer and occupational, but I didn't want it to Take 5 years.
audio-10390.100-10391.800|Hey, I have some amazing news.
audio-10391.600-10398.100|Are you ready for this roosters getting married to Joan the intensive care nurse.
audio-10397.900-10406.900|Everyone's been going on and on about how they can't believe it, which is really pretty much an insult to Rooster if you think about it, I guess he popped the question in Oconomowoc.
audio-10406.700-10413.200|They got over there one Saturday guys the happiest I've ever seen him and she's really nice.
audio-10413.000-10416.300|I don't know how well you got to know her, but she's great.
audio-10416.100-10422.600|It's going to be in late December and Well, I mean, would you be coming home by Christmas?
audio-10422.400-10426.500|Anyway, I know he want you to, I'm sure you'll be hearing from him.
audio-10427.400-10428.700|We have is going okay.
audio-10428.500-10431.600|I might be getting a Halo off next week.
audio-10431.400-10435.800|We'll do X-rays and we'll see Steubenville came by the other night.
audio-10435.600-10442.700|I hadn't seen either of them for a while and Jamie was in she will don't get mad.
audio-10442.500-10444.200|But I think you should call her.
audio-10444.000-10449.500|I mean it's none of my business but no nevermind scratch that too bad.
audio-10449.300-10451.200|I can't blank out parts of the tape.
audio-10452.300-10460.900|As I listened to him talk I reached on to the passenger seat for my purse and got out my wallet for there was an old picture of him his school picture from senior year of high school.
audio-10461.900-10463.900|Anyway, he said on the tape.
audio-10463.700-10466.000|Everything is pretty much the same.
audio-10465.800-10467.900|Hey, what are you doing for Thanksgiving.
audio-10467.700-10469.600|I might be home by then.
audio-10469.400-10474.800|Well, who knows Hoops ears mom by Carrie Mae?
audio-10475.800-10479.200|It was a final click in the blank tape Waring in the machine.
audio-10479.000-10483.600|I reached over and press rewind and rest in my far at against the steering wheel.
audio-10483.400-10490.700|I felt bright and strange floodlit around the edges and dark at the very center.
audio-10493.000-10493.900|That afternoon.
audio-10493.700-10496.200|I met Kilroy mclanahan's after work.
audio-10496.000-10499.400|He like 6, there are only half-full.
audio-10499.200-10500.400|You were Guppies.
audio-10500.200-10504.800|He was sitting at the bar when I arrived wearing his leather jacket over a brown shirt.
audio-10504.600-10506.700|I finished beer in front of him.
audio-10506.500-10524.900|He looked up and gave me what I thought of as his amused Smile as if he were amused by me, but the fact of us what news has since I climbed on the stool next to his I Shrugged gave me a quizzical look then reach for a pack of matches and fiddled it between his fingers.
audio-10524.700-10532.600|No news is good news, then I guess be sure he waved the bartender.
audio-10532.400-10534.500|I got a tape today.
audio-10535.500-10539.700|A tape from Ice Age raises eyebrows.
audio-10539.500-10540.800|What did he say?
audio-10540.600-10542.600|I stared Straight Ahead.
audio-10542.400-10547.700|Well for one thing roosters getting married to Joni intensive care nurse.
audio-10548.600-10550.600|I stopped talking and face Kilroy.
audio-10551.500-10555.200|Why is it I said that you don't want to tell me about any of your old girlfriends.
audio-10555.000-10558.000|When was the last time you were involved with someone?
audio-10558.700-10560.900|A weary look passed over his face.
audio-10560.700-10564.600|I don't have old girlfriends the way you have your old boyfriend.
audio-10564.400-10567.200|Okay, then how do you have them?
audio-10567.000-10571.300|I don't see latest four fingers side-by-side on the bar.
audio-10571.100-10573.300|You're barking up the wrong tree.
audio-10574.500-10579.300|In a small crowded voice I said which tree should i bark up?
audio-10579.100-10582.300|And when killer I looked away I couldn't help it.
audio-10582.100-10583.200|I had to press harder.
audio-10584.200-10593.300|Well Witchtree, why don't you try not barking he snapped he stared at me with a terrible sneer capsizing his mouth.
audio-10593.100-10594.500|And finally I got off.
audio-10594.300-10600.400|My soon's funkaway passed the bar between The Empty Tables through the heavy door and out into the night.
audio-10601.700-10604.300|Back at The Brownstone ice pops on the futon.
audio-10604.100-10609.200|I wanted to call him and didn't wanted him to call me and want them to vanish.
audio-10609.000-10615.100|I went out to The Landing for the phone and carried it back to the futon halfway through darling.
audio-10614.900-10616.300|I press the disconnect button.
audio-10616.100-10619.000|I sat there holding the phone on my lap.
audio-10618.800-10621.500|And then without really thinking about it.
audio-10621.300-10632.300|I dialed Jamie and Madison when she heard my voice there was a long silence and then she said, how are you in such a way that I couldn't possibly misinterpreted as a question.
audio-10632.100-10634.400|She laughs too short cold off.
audio-10635.100-10636.300|I'm sorry, Jamie.
audio-10636.100-10639.500|I said I should have called earlier I should have.
audio-10640.400-10644.800|She breathed in deeply and I heard her let it out again loud like a sigh.
audio-10645.700-10657.500|Please try to understand I had to leave I understand that she said it last I didn't at first but now I do but that was almost two months ago everyday.
audio-10657.300-10661.800|I wonder what it is about me that makes you hate me she began to cry.
audio-10661.600-10665.800|I don't I said I don't hate you Jamie.
audio-10665.600-10667.800|It's just cold Mike.
audio-10667.600-10673.900|She sobbed I know I heard her footsteps and then the muffled sound of her blowing her nose.
audio-10674.900-10679.600|Jamie can I ask how you are what you've been doing she blew her nose again.
audio-10679.400-10682.500|Will they give you an example last Saturday night?
audio-10682.300-10684.800|I play Parcheesi with my parents and Lynn.
audio-10684.600-10686.200|How is Lynn?
audio-10686.000-10691.800|I said after a moment diculous Sheen mom or driving me nuts about each other.
audio-10691.600-10694.500|She has to move out too bad.
audio-10694.300-10697.100|If I thought of it sooner she could have sublet my place.
audio-10696.900-10701.500|There was a silence on Jamie said you sublet your apartment.
audio-10701.300-10704.200|I felt a spike of fear.
audio-10704.000-10709.300|Didn't she know how could she not know and everyone in Madison New everything about everyone else?
audio-10710.200-10719.000|Well, yeah, I did it was a thunk and then nothing silence just the worship of all the space between us.
audio-10720.600-10725.900|Jamie I waited and then I said it again and again, Jamie.
audio-10727.100-10732.300|Jamie Then I understood should set the phone down and walked away.
audio-10732.100-10734.200|I could picture it.
audio-10734.000-10739.600|Jamie standing across the kitchen staring at the receiver in raged and Terry.
audio-10740.300-10745.200|I hung up and carry the phone back out to the hall at the little window in the stairwell.
audio-10745.000-10757.400|I push the curtains to side and peered out Brownstones behind is perpetually lit a low window hear a High when they're then dark dark and whole blazing for stories.
audio-10758.100-10768.400|Someone else might have looked for a message in the pattern of Illumination, but I just stood there staring sold with the sense of myself is occupying the smallest places in the world.
audio-10771.900-10774.000|Hillary came over the next morning.
audio-10773.800-10776.400|I was alone in the house drinking coffee.
audio-10776.200-10784.500|And when I answer the door, I was shocked to see him standing in the cold bright light barely more than a silhouette outside the dark recessed entryway.
audio-10784.300-10788.200|He does hands on his hips a Gruff irritated.
audio-10788.000-10788.700|Look on his face.
audio-10788.500-10794.400|He was there on sufferance under his own orders, aren't you going to ask me in?
audio-10795.200-10796.700|Do you want to come in?
audio-10796.500-10798.100|Yeah, I do.
audio-10798.900-10803.500|In the kitchen, I poured him a cup of coffee then sat down after while.
audio-10803.300-10810.300|He sat to unshaven dressed in his jeans and a torn grey sweatshirt and his leather jacket when she didn't take off.
audio-10810.100-10812.200|It was 10:20.
audio-10812.000-10815.700|He must have decided not to go to work that killroy.
audio-10815.500-10817.400|He said taking a sip of his coffee.
audio-10817.200-10819.100|What is it with him?
audio-10820.000-10821.100|I understood that.
audio-10820.900-10825.500|He wasn't going to apologize anymore directly and it was all I could do not to laugh.
audio-10827.200-10829.900|What I shook my head.
audio-10829.700-10833.200|He looked at his mug and looked at me across the top of it.
audio-10833.000-10836.100|Have I ever told you before that I went to Princeton.
audio-10835.900-10839.000|I graduated Magna not to brag.
audio-10838.800-10845.200|I had a different roommate each year for the one thing they had in common was they were all Southerners with drinking problems.
audio-10845.000-10849.000|There was a lot of throwing up and I spent my weekends elsewhere.
audio-10848.800-10850.500|Oh and many years later.
audio-10850.300-10855.800|I happen to run into one of them in a movie theater, and he said to me Kilroys, son of a bitch.
audio-10855.600-10858.500|Are you still alive cover hysterectomy?
audio-10859.500-10860.400|What do you think of that?
audio-10860.200-10867.300|My heart pounded he reach for me and pulled me close, you know me better than that kind of information.
audio-10867.100-10872.500|He said very softly you may not think so, but you do.
audio-10873.300-10879.500|He kiss me and I turn my face away angry and then suddenly wanting to kiss him and then angry that I wanted to kiss him.
audio-10880.300-10881.800|I called Jamie last night.
audio-10881.600-10888.300|I said for the first time she didn't know I'd sublet my apartment when I mentioned it.
audio-10888.100-10891.000|She did something weird instead of hanging up on me.
audio-10890.800-10892.800|She just put the phone down and walk away.
audio-10893.700-10897.600|I started him no idea why it said this rather than something else.
audio-10897.400-10899.500|What do you want?
audio-10899.300-10900.900|What the fuck are you doing in my life?
audio-10901.800-10902.900|She froze.
audio-10902.700-10905.100|He said froze.
audio-10904.900-10907.400|I was surprised he responded.
audio-10908.400-10912.000|He Shrugged sure she couldn't do anything else.
audio-10911.800-10919.600|She couldn't say anything cuz you couldn't hang up on you was all she could do why couldn't she hang up on me because she loves you.
audio-10919.400-10927.400|He send as do I the one is somewhat different way a light sweat gathered on my forehead and upper lip.
audio-10928.100-10932.500|You love me you nodded solemnly course.
audio-10932.300-10933.100|I love you.
audio-10932.900-10939.500|His face was Bland his voice matter of fact don't you know, I'm Head Over Heels.
audio-10939.300-10941.400|I'm knocked for a loop.
audio-10944.000-10952.800|He loves me and it seemed that was all I've been wanting to know all I've been needing to hear to take the next step is for key to his apartment.
audio-10952.600-10962.300|And I took to being there when you return from work flipping through a magazine drinking a beer eager for a fuck very her for a fuck more.
audio-10962.100-10972.100|I had the more I wanted sex with our Medium as enlightening as a long exchange of information because what really did I need to know?
audio-10974.300-10983.600|On Thanksgiving morning wrapped in a terry-cloth bathrobe till we're jumps flower directly onto the kitchen counter and began pinching small cubes of cold butter into it.
audio-10983.400-10988.300|We were taking a dessert and a vegetable to The Brownstone later that day though.
audio-10988.100-10990.700|He's lobbies for turkey sandwiches at his place.
audio-10990.500-10993.800|I'd argue that Thanksgiving wasn't just about turkey.
audio-10993.600-11001.500|It was also about a big crowd of people and eventually he's given in later the pie in the oven in the vegetables cooked in a raid in a casserole.
audio-11001.300-11002.900|He went to take a shower.
audio-11002.700-11010.800|I pour myself some more coffee thinking how much I liked his Domesticity the fact that he'd woken me to start cooking.
audio-11011.600-11019.000|I loved watching him the kitchen how we never used to cook but but move Shirley from step to step as if he understood the ingredients.
audio-11018.800-11022.300|So well that he knew just how much of each would yield the right combination of flavors.
audio-11022.100-11034.700|I finished my coffee and then set about cleaning sliding appeals into the garbage washing the bowls and knives with used wiping down the counters with a sponge that have been sprinkled with vinegar one of his tricks.
audio-11034.500-11038.200|I heard a shower shut off and a moment later the phone rang.
audio-11038.000-11054.400|I stared at it somehow this was a first the question of whether or not to answer his phone it rang that rarely it rang a second time and across the room and picked it up thinking it could be Simon asking us to stop for something on the way over.
